Time,Open,High,Low,Close,Change(Pips),Change(%)
03/31/2025 00:00,1.29376,1.29396,1.29371,1.29396,2.0,0.02,
03/30/2025 23:59,1.29379,1.29384,1.29369,1.29373,-0.6,0.00,
03/30/2025 23:58,1.2937,1.29385,1.2937,1.29379,0.9,0.01,
03/30/2025 23:57,1.29378,1.29383,1.29372,1.29377,-0.1,0.00,
03/30/2025 23:56,1.29372,1.29387,1.29372,1.29382,1.0,0.01,
03/30/2025 23:55,1.29375,1.29383,1.2937,1.29371,-0.4,0.00,
03/30/2025 23:54,1.2939,1.29397,1.29376,1.29376,-1.4,-0.01,
03/30/2025 23:53,1.29388,1.29396,1.29387,1.29394,0.6,0.00,
03/30/2025 23:52,1.29386,1.29396,1.29384,1.29392,0.6,0.00,
03/30/2025 23:51,1.2938,1.29391,1.29377,1.29387,0.7,0.01,
03/30/2025 23:50,1.29379,1.29383,1.29369,1.29379,0.0,0.00,
03/30/2025 23:49,1.29386,1.29392,1.29376,1.29377,-0.9,-0.01,
03/30/2025 23:48,1.29405,1.29406,1.29387,1.29387,-1.8,-0.01,
03/30/2025 23:47,1.29379,1.29405,1.29379,1.29403,2.4,0.02,
03/30/2025 23:46,1.29375,1.29383,1.29364,1.29382,0.7,0.01,
03/30/2025 23:45,1.29378,1.29386,1.29368,1.29377,-0.1,0.00,
03/30/2025 23:44,1.29394,1.29405,1.29376,1.29378,-1.6,-0.01,
03/30/2025 23:43,1.29377,1.29391,1.29374,1.29388,1.1,0.01,
03/30/2025 23:42,1.29358,1.29382,1.29354,1.29375,1.7,0.01,
03/30/2025 23:41,1.29363,1.29372,1.29358,1.29361,-0.2,0.00,
03/30/2025 23:40,1.29352,1.29371,1.29345,1.29364,1.2,0.01,
03/30/2025 23:39,1.29341,1.29361,1.29341,1.29347,0.6,0.00,
03/30/2025 23:38,1.29359,1.29362,1.29338,1.29341,-1.8,-0.01,
03/30/2025 23:37,1.29332,1.29355,1.29328,1.29353,2.1,0.02,
03/30/2025 23:36,1.29347,1.29352,1.2932,1.29331,-1.6,-0.01,
03/30/2025 23:35,1.29358,1.29364,1.29334,1.29343,-1.5,-0.01,
